Criterion Name,Audit Type,Criterion ID,Default Fix,Dimension,Failure Signals,How to verify?,Max Score,Operational Impact,Severity,Target,What is being checked?
Product suitability should be clearly self-evident on the PDP,PDP,PDP-DC-FIT-01,"Provide clear, decision-relevant guidance that allows users to validate suitability directly on the PDP.

This can include structured size guidance, compatibility information, usage scenarios, and explicit clarification of who the product is intended for and who it is not suitable for.

Where multiple variants exist, differences should be explained in terms of real-world impact, not just technical attributes.",Decision Clarity,"The PDP describes the product but does not clarify who it is for or not for.
Users must guess whether the product fits their situation, size, device, or context.
Important compatibility or usage constraints are missing, hidden, or only revealed after purchase.
Variant differences exist but are not explained in terms of real-world use.
Users are forced to leave the PDP to find basic suitability information.","Review the PDP from the perspective of a first-time user with a specific use case.
Check whether the page clearly answers the question: “Is this the right product for me?”
Look for missing constraints, unclear applicability, or gaps in explanation.
Confirm whether a user can make a confident decision without leaving the page.",10,"Users hesitate because they cannot confidently determine whether the product will work for them. This increases perceived risk and leads to delayed or abandoned decisions.
Even if interest is high, uncertainty around fit or compatibility often prevents conversion entirely.
For machines and agents, missing fit logic makes it impossible to reliably match products to user needs or constraints.",CRITICAL ‼️,"Agent, Human, Machine","Whether the PDP enables users to confidently determine if the product is suitable for their specific use case, without needing external research or guesswork.
The page must provide enough context, guidance, and constraints so that the user can validate fit, compatibility, or appropriateness directly within the decision flow."
Payment options and financing conditions should be clearly visible before checkout,PDP,PDP-DC-PAY-01,"Expose all relevant payment methods directly on the PDP in close proximity to the purchase decision.

If financing or installment options are available, clearly communicate the conditions, including indicative monthly cost where applicable.

Ensure that users can fully understand how they can pay without entering the checkout flow.",Decision Clarity,"Payment methods are not visible on the PDP.
Financing or installment options exist but are only shown in checkout.
Additional costs or payment constraints are revealed late in the process.
Users must click through multiple steps to understand how they can pay.
The PDP creates uncertainty about whether preferred payment methods are supported.","Open the PDP and check whether payment methods are visible without interaction.
Verify whether financing options, if available, are clearly explained.
Confirm that no critical payment information is only revealed in checkout.
Assess whether a user can decide if the purchase is financially feasible directly on the PDP.",10,"Users delay or abandon decisions because they cannot confirm whether the purchase is feasible for them.

This is especially critical for higher-priced products, where payment flexibility directly affects conversion.

For machines and agents, missing payment context limits the ability to evaluate whether a transaction is executable.",High,"Agent, Human, Machine","Whether the PDP clearly communicates how the product can be paid for, including available payment methods and any relevant financing or installment options, without requiring the user to proceed to checkout.
The user must understand the actual payment reality before committing to the purchase flow."
Users should clearly understand what is included in the purchase,PDP,PDP-DC-OFF-01,"Clearly define the full scope of the offer directly on the PDP.

Explicitly list what is included and, where relevant, what is not included.
Ensure that product imagery does not contradict the actual contents of the offer.
If the product is part of a system or requires additional components, make this clear before purchase.",Decision Clarity,"The PDP does not clearly state what is included in the purchase.
Product images suggest items that are not part of the offer.
Bundles or sets are shown without clearly defining their contents.
Accessories or required components are not mentioned or are hidden.
Users must infer what they will receive instead of being explicitly told.","Review the PDP and ask: “Do I know exactly what I will receive?”
Check whether all included items are explicitly stated.
Compare visuals with the described offer to detect inconsistencies.
Assess whether any assumptions are required to understand the offer.",10,"Users experience uncertainty about what they are actually buying, which reduces trust and increases hesitation.

If expectations are not aligned with reality, this leads to returns, complaints, and negative perception of the brand.

For machines and agents, unclear offer scope prevents accurate interpretation of the product and makes automated purchasing unreliable.",CRITICAL ‼️,"Agent, Human, Machine","Whether the PDP makes it unambiguously clear what exactly is included in the purchase and what is not.
The user must be able to understand the full scope of the offer without assumptions, including included components, exclusions, and conditions."
The total cost and unit-based pricing of the product should be clearly understandable before purchase,PDP,PDP-DC-PRC-01,"Ensure that the full cost of the product is transparent before checkout, including any relevant additional charges or conditions.

Where applicable, clearly display unit-based pricing and make differences between quantities or bundles directly comparable.

The user should be able to understand the real economic value of the offer at a glance.",Decision Clarity,"The PDP shows a base price but does not clarify the total payable cost.
Additional costs such as shipping, taxes, or fees are unclear or only revealed later.
Unit-based pricing (e.g. per kg, per liter, per month) is missing where relevant.
Different quantities or bundle sizes are shown without a clear economic comparison.
Users must calculate or estimate the real cost themselves.","Review the PDP and check whether the full cost is visible without progressing to checkout.
Assess whether any additional costs are unclear or hidden.
Verify whether unit pricing is displayed where relevant.
Check whether different quantities or bundles can be compared without calculation.",10,"Users cannot confidently assess whether the product represents good value, which increases hesitation and slows down decision-making.

In categories where quantity or recurring usage matters, missing unit pricing prevents meaningful comparison and reduces conversion.

For machines and agents, incomplete pricing logic limits the ability to compare offers or optimize decisions.",High,"Agent, Human, Machine","Whether the PDP enables users to clearly understand the true economic value of the product, including the total payable cost and, where relevant, the price per unit.
The user must be able to evaluate the offer without needing to calculate, estimate, or infer hidden cost structures."
Product reviews should provide meaningful information that helps users make a confident purchase decision,PDP,PDP-TD-REV-01,"Ensure that reviews contain concrete, experience-based information that helps users understand how the product performs in real-world scenarios.

Encourage structured or guided reviews that highlight relevant aspects such as use case, fit, pros and cons, and specific outcomes.

Where possible, surface the most informative and decision-relevant reviews rather than only displaying average ratings.",Trust & Decision Enablement,"Reviews consist mostly of generic statements without useful detail.
There is a high rating score but no explanation of why the product is good or bad.
Reviews do not reflect different use cases, variants, or contexts.
Users cannot extract practical insights from the reviews.
Reviews are present but do not answer common questions or objections.","Read multiple reviews and assess whether they provide actionable insights.
Check whether reviews answer typical user questions or reduce uncertainty.
Look for variety in use cases, contexts, and experiences.
Evaluate whether a user could rely on reviews to support a purchase decision without external research.",10,"Users may initially trust the rating but still hesitate because they cannot validate whether the product will work for their specific situation.

This leads to stalled decisions, increased drop-off, or unnecessary external research.

For machines and agents, low-quality review content provides little to no usable signal for evaluating product suitability or quality.",High,"Agent, Human, Machine","Whether the reviews on the PDP actually help users reduce uncertainty and make a confident decision, rather than just signaling general popularity or satisfaction.
The focus is on decision-relevant content, not just the presence of ratings or volume of reviews."
Cart quantity persists across checkout navigation,Cart,CART-SR-QTY-01,"Persist cart line-item quantity as a stable session or server-backed cart attribute and rehydrate that state consistently whenever the cart drawer, cart page, or checkout-return path is reopened.

Ensure cart rendering uses the authoritative stored quantity rather than a hardcoded UI default. If inventory or business rules force a quantity change, keep the adjusted value visible and show a clear inline reason for the change.",System Robustness,"- Quantity increases in cart, but returns to 1 after navigating to checkout and back

- Returning to cart shows a different quantity than the one last selected by the user

- The reset occurs across multiple products, not just one SKU

- The reset is reproducible across repeated cart-to-checkout navigation

- No message explains why the quantity changed

- Line item subtotal or total no longer matches the quantity the user selected before navigation","1. Add a product to the cart.

2. Increase quantity to a non-default value such as 3, 5, or 10.

3. Proceed to checkout.

4. Navigate back to the cart or shop/cart flow.

5. Confirm whether the same quantity is still shown for the same line item.

6. Repeat with multiple products.

7. Repeat the flow more than once to confirm whether the reset is reproducible.

8. Check whether subtotal and total remain aligned with the preserved quantity.",10,"Users lose a decision-critical part of their purchase state after progressing in the buying flow. This breaks continuity, creates rework, and weakens trust in cart and checkout reliability.

For decision-making, users can no longer trust that the order they configured is the order being preserved. This increases hesitation, correction effort, and abandonment risk.

For machines and agents, the commerce state becomes unstable across navigation steps, which makes validation, execution, and recovery unreliable.",CRITICAL ‼️,"Agent, Human","Whether the user’s selected cart quantity remains unchanged and preserved in the last confirmed quantity state for each line item unless the user explicitly changes it, when e.g. moving from cart to checkout and then returning to the cart or shop flow.

The cart must preserve the last confirmed quantity state for each line item unless the user explicitly changes it or the system clearly communicates a validated reason why the quantity was adjusted."
Cart quantity value remains fully readable at all supported quantities,Cart,CART-DC-QTY-01,"Redesign the quantity control so the value container supports all allowed quantity lengths. Use responsive width, padding, font sizing, and overflow rules that keep the full number visible.

If the control only allows button-based quantity changes, the displayed value must remain centered, fully rendered, and visually stable at every supported step. Do not rely on a fixed-width container that was only sized for single-digit values.",Decision Clarity,"- Quantity text is clipped once it reaches two digits

- Values above 10 are partially hidden inside the control

- Higher values such as 20 are unreadable or only partly visible

- The quantity container does not resize or adapt as the number grows

- Users can continue increasing quantity with buttons, but cannot clearly read the resulting value

- The displayed quantity is visually ambiguous because digits are cut off or crowded","Add a product to the cart.

Increase quantity using the plus control until the value exceeds 10.

Continue to higher values such as 20 if the interface allows it.

Observe whether every digit remains fully visible inside the cart quantity control.

Confirm there is no clipping, truncation, overlap, or hidden text.

Repeat on desktop and mobile viewport sizes if both are supported.

Confirm the visible quantity can be read without guessing.",9,"Users cannot reliably confirm how many units they are about to purchase. This directly weakens purchase confidence and increases the risk of unintended order quantities.

For decision-making, unclear quantity display prevents accurate validation of cart contents and raises the chance of hesitation, correction loops, or abandonment.

For machines and agents, the visible cart state becomes harder to interpret or validate from the interface because a core order value is not presented clearly.",High,"Agent, Human","Whether the cart UI displays the selected quantity as fully visible, legible, and unambiguous at every quantity level the interface allows the user to reach.

The quantity display must scale or adapt so that multi-digit values remain completely readable without clipping, truncation, overlap, or hidden characters."
Selected offer state persists unchanged from PDP to Cart,Cart,CART-SR-PERSIST-01,"Pass the selected offer to cart using a stable offer or variant identifier and render cart state from the same authoritative commerce object used at add-to-cart. Do not reconstruct the cart item from loosely matched product data. Lock price, variant, and purchasability state to the selected offer snapshot unless a clearly explained system update occurs.",System Robustness,"Cart price differs from the price shown on the PDP for the selected offer

Selected variant is reset, replaced, or incompletely transferred in cart

Product name or identifying offer details change in cart in a way that makes the selected item unclear

Cart shows a purchasability state that contradicts the selected PDP state without explicit explanation

Cart resolves the added item to a different configuration than the one the user selected

Item is added successfully, but cart state forces the user to re-decide core offer attributes","Select a specific variant or configuration on the PDP and note the visible product name, variant, price, and purchasability state. Add the item to cart. Compare the cart line item against the selected PDP state. Confirm that no core offer attribute changed silently. Repeat with multiple variants, including edge cases such as low-stock, discounted, or restricted configurations.",10,"When the selected offer changes between PDP and cart, users cannot trust that the system preserved their decision. This creates immediate purchase hesitation, increases abandonment, and makes the cart feel unreliable or broken. For machines and agents, the transition becomes non-deterministic: the selected offer cannot be safely executed, verified, or re-used as a stable transaction state.",High,Agent,"Checks whether the exact decision-relevant offer state selected on the PDP remains unchanged after the product is added to cart. The cart must preserve the same selected variant, product identity, price, and purchasability state that were shown at the moment of add-to-cart."
Cart reinforces the user’s selected product decision with clear visual and attribute confirmation,Cart,CART-TE-REINFORCE-01,"Render each cart item as a clear product block including a recognizable image, explicit variant attributes, and unambiguous product naming. Ensure that all decision-relevant attributes are visible without interaction. Prioritize recognition over recall by making the selected configuration immediately identifiable.",Trust & Decision Enablement,"Product image is missing, too small, or not recognizable

Key attributes (e.g. size, color, configuration) are missing or unclear

Product representation is too generic to distinguish between variants

Price is not clearly associated with the displayed product

User must rely on memory to confirm what was added

Multiple items appear visually ambiguous or indistinguishable","Add a product with a specific variant (e.g. size and color) to the cart. Without referring back to the PDP, check whether the cart alone makes it immediately clear what exact product and configuration was selected. Repeat with similar variants to confirm that items remain distinguishable and unambiguous.",10,"If the cart does not clearly reinforce the selected product, users cannot confidently confirm their decision and begin to doubt whether the correct item was added. This increases hesitation, slows progression to checkout, and raises abandonment risk. Trust decreases as users feel forced to re-verify their choice. For agents, weak product representation increases ambiguity in interpreting line items and reduces reliability of the cart as a confirmation state.",High,Human,Checks whether the cart clearly confirms the user’s previously selected product by displaying sufficient visual and textual information to enable immediate recognition without requiring recall. The cart must make it obvious what exact product and configuration was added.
,,,,,,,,,,,
